,,CARICOM  Affected Exports to the USA (Top 100),,,
,,,,,
,,  ,,,
,HS,Description,SITC1,   Exports to USA (USD)   ,Affected
,720310," Ferrous products; obtained by direct reduction of iron ore, in lumps, pellets or similar forms",6,"  591,264,613 ",affected
,281410, Ammonia; anhydrous,5,"  382,116,545 ",affected
,290511," Alcohols; saturated monohydric, methanol (methyl alcohol)",5,"  161,983,626 ",affected
,310280," Fertilizers, mineral or chemical; nitrogenous, mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution",5,"  71,307,343 ",affected
,210390, Sauces and preparations therefor; mixed condiments and mixed seasonings,0,"  61,228,052 ",affected
,220840, Rum and other spirits obtained by distilling fermented sugar-cane products,1,"  43,433,159 ",affected
,071430," Vegetable roots and tubers; yams (Dioscorea spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",0,"  34,606,815 ",affected
,170114," Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter",0,"  33,891,154 ",affected
,880240," Aeroplanes and other aircraft; of an unladen weight exceeding 15,000kg",7,"  30,230,922 ",affected
,310210," Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",5,"  20,761,551 ",affected
,843143, Boring or sinking machinery; parts of the machinery of item no. 8430.41 or 8430.41,7,"  20,701,251 ",affected
,711319," Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",8,"  19,743,639 ",affected
,190590," Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products",0,"  18,742,762 ",affected
,030389," Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",0,"  17,528,320 ",affected
,220300, Beer; made from malt,1,"  17,420,170 ",affected
,200899," Fruit, nuts and other edible parts of plants; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit, n.e.c. in heading no. 2008",0,"  17,378,548 ",affected
,030232," Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0,"  15,089,007 ",affected
,030289," Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0,"  14,930,689 ",affected
,220299," Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, not including fruit or vegetable juices of heading no. 2009",1,"  12,185,208 ",affected
,252100," Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",2,"  11,274,245 ",affected
,880212, Helicopters; of an unladen weight exceeding 2000kg,7,"  10,833,113 ",affected
,030611," Crustaceans; frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",0,"  10,658,073 ",affected
,841199, Turbines; parts of gas turbines (excluding turbo-jets and turbo-propellers),7,"  8,403,211 ",affected
,890190," Vessels; n.e.c. in heading no. 8901, for the transport of goods and other vessels for the transport of both persons and goods",7,"  7,276,032 ",affected
,841182," Turbines; gas-turbines (excluding turbo-jets and turbo-propellers), of a power exceeding 5000kW",7,"  7,139,244 ",affected
,853669," Electrical apparatus; plugs and sockets, for a voltage not exceeding 1000 volts",7,"  6,707,544 ",affected
,030799," Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",0,"  6,467,332 ",affected
,030617," Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",0,"  5,665,564 ",affected
,210690, Food preparations; n.e.c. in item no. 2106.10,0,"  5,284,293 ",affected
,843049, Boring and sinking machinery; not self-propelled,7,"  5,173,218 ",affected
,030449," Fish fillets; fresh or chilled, other than fish of heading 0304.4",0,"  5,069,796 ",affected
,170390," Sugars; molasses, from sugar beet, resulting from the extraction or refining of sugar",0,"  4,943,316 ",affected
,190531," Food preparations; sweet biscuits, whether or not containing cocoa",0,"  4,825,668 ",affected
,200990," Juices; mixtures of fruits or vegetables, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",0,"  4,743,404 ",affected
,293361," Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, melamine",5,"  4,594,223 ",affected
,220210," Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",1,"  4,556,351 ",affected
,731581," Chain; stud-link chain, of iron or steel",6,"  4,525,809 ",affected
,820719," Tools, interchangeable; rock drilling or earth boring tools, with working part (other than of cermets), whether or not power operated, including parts",6,"  4,426,584 ",affected
,381590," Reaction initiators, reaction accelerators and catalytic preparations, unsupported, n.e.c. or included",5,"  4,086,809 ",affected
,847989," Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter",7,"  3,970,599 ",affected
,848190," Taps, cocks, valves and similar appliances; parts thereof",7,"  3,840,410 ",affected
,090111, Coffee; not roasted or decaffeinated,0,"  3,796,199 ",affected
,040630," Dairy produce; cheese, processed (not grated or powdered)",0,"  3,770,580 ",affected
,910119," Wrist-watches; electrically operated, with or without a stop-watch, with case of precious metal or metal clad with precious metal, without mechanical display",8,"  3,564,609 ",affected
,711311," Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",8,"  3,238,714 ",affected
,910221," Wrist-watches; whether or not incorporating a stop-watch facility, with automatic winding",8,"  3,181,341 ",affected
,980100,Personal and Household effects,9,"  3,168,392 ",affected
,210410, Soups and broths and preparations therefor,0,"  3,082,041 ",affected
,030499," Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9",0,"  3,038,471 ",affected
,030487," Fish fillets; frozen, tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)",0,"  3,016,086 ",affected
,390910," Amino-resins; urea and thiourea resins, in primary forms",5,"  2,999,223 ",affected
,180631," Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",0,"  2,870,997 ",affected
,170290," Sugars; n.e.c. in heading no. 1702, including invert sugar and other sugar and sugar syrup blends containing, in the dry state, 50% by weight of fructose",0,"  2,850,767 ",affected
,091099, Spices; n.e.c. in heading no. 0910,0,"  2,705,617 ",affected
,731100," Containers for compressed or liquefied gas, of iron or steel",6,"  2,681,554 ",affected
,200510," Vegetable preparations; homogenised vegetables, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",0,"  2,639,421 ",affected
,850940," Electro-mechanical domestic appliances; food grinders and mixers, fruit or vegetable juice extractors, with self-contained electric motor",7,"  2,524,488 ",affected
,910129," Wrist-watches; (not electrically operated), (not automatic winding), whether or not incorporating a stop-watch facility, case of precious metal or of metal clad with precious metal",8,"  2,353,323 ",affected
,710239," Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",6,"  2,282,651 ",affected
,840999, Engines; parts for internal combustion piston engines (excluding spark-ignition),7,"  2,235,372 ",affected
,901580," Surveying equipment; articles n.e.c. in heading no. 9015, including hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances (excluding compasses)",8,"  2,170,294 ",affected
,220870, Liqueurs and cordials,1,"  2,152,821 ",affected
,251710," Pebbles, gravel, broken or crushed stone; of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated",2,"  2,140,498 ",affected
,040690," Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406",0,"  2,118,255 ",affected
,732620, Iron or steel; wire articles,6,"  2,070,258 ",affected
,880330, Aircraft and spacecraft; parts of aeroplanes or helicopters n.e.c. in heading no. 8803,7,"  2,037,752 ",affected
,853690," Electrical apparatus; n.e.c. in heading no. 8536, for switching or protecting electrical circuits, for a voltage not exceeding 1000 volts",7,"  2,032,228 ",affected
,190219," Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared",0,"  1,935,009 ",affected
,610910," T-shirts, singlets and other vests; of cotton, knitted or crocheted",8,"  1,861,283 ",affected
,731210," Iron or steel; stranded wire, ropes and cables, not electrically insulated",6,"  1,791,022 ",affected
,081090," Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh",0,"  1,739,952 ",affected
,121221," Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",2,"  1,720,173 ",affected
,730423," Iron or steel (excluding cast iron or stainless steel); seamless, drill pipe, of a kind used in drilling for oil or gas",6,"  1,681,499 ",affected
,080270," Nuts, edible; kola nuts (Cola spp.), fresh or dried, whether or not shelled or peeled",0,"  1,663,463 ",affected
,910211," Wrist-watches; electrically operated, with or without a stop-watch, (other than those of heading no. 9101) with mechanical display only",8,"  1,654,290 ",affected
,220890," Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208",1,"  1,627,585 ",affected
,890790," Floating structures; tanks, coffer-dams, landing stages, buoys and beacons",7,"  1,590,301 ",affected
,170490," Sugar confectionery; (excluding chewing gum, including white chocolate), not containing cocoa",0,"  1,586,162 ",affected
,441810," Wood; windows, French-windows and their frames",6,"  1,551,558 ",affected
,711299," Waste and scrap of precious metals; waste and scrap of precious metals including metal clad with precious metals, other than that of gold and platinum and excluding ash which contains precious metal or precious metal compounds",2,"  1,551,281 ",affected
,731590," Chain; parts n.e.c. in heading no. 7315, of iron or steel",6,"  1,534,758 ",affected
,841370," Pumps; centrifugal, n.e.c. in heading no. 8413, for liquids",7,"  1,528,791 ",affected
,330300, Perfumes and toilet waters,5,"  1,516,452 ",affected
,490700," Unused postage, revenue or similar stamps of current or new issue in the country in which they have, or will have, a recognised face value; stamp-impressed paper; cheque forms; banknotes, stock, share or bond certificates and the like of similar title",8,"  1,484,474 ",affected
,840710," Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines",7,"  1,467,994 ",affected
,860900, Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,7,"  1,458,144 ",affected
,640590, Footwear; n.e.c. in chapter 64,8,"  1,443,491 ",affected
,320910," Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium",5,"  1,440,696 ",affected
,900710," Cameras, cinematographic; whether or not incorporating sound recording apparatus",8,"  1,427,904 ",affected
,220510," Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding 2 litres or less",1,"  1,394,079 ",affected
,903090," Instruments, apparatus for measuring, checking electrical quantities, not meters of heading no. 9028; parts and accessories, for measuring or detecting alpha, beta, gamma, x-ray, cosmic and other radiations",8,"  1,375,768 ",affected
,731600," Iron or steel; anchors, grapnels and parts thereof",6,"  1,370,639 ",affected
,630630," Sails; for boats, sailboards or landcraft",6,"  1,361,809 ",affected
,030234," Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0,"  1,351,164 ",affected
